id,district,name,address,gov_url,facilities,photo_path,status
147,元朗,元朗公園,元朗元朗公園北路,https://www.map.gov.hk/gm/gmid/zIaqtroUOz?lg=tc ,"公園, 共融遊樂設施,長者健身園地, 硬地球場, 門球場, 百鳥塔, 手球場",/facilities/pi-basketball.png,Active
143,元朗,上村公園,元朗錦上路,,"寵物共享公園,長者健身園地",/facilities/md-pets.jpeg,Active
145,元朗,天慈花園,元朗天水圍天慈邨天慈路,,"寵物共享公園,長者健身園地",/facilities/md-pets.jpeg,Active
199,屯門,新墟遊樂場,屯門鄉事會路,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
200,屯門,新和里遊樂場,屯門新和里,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
201,屯門,青龍花園,屯門蟠龍半島青龍路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
202,屯門,屯門海濱花園,屯門慧豐園湖翠路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
203,屯門,屯門河畔公園,屯門澤豐花園35區,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
204,屯門,湖山遊樂場,屯門新屯門中心湖山路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
205,屯門,湖山河畔公園,屯門第十八區龍門路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
206,屯門,湖山網球場,屯門悅湖山莊湖山路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
207,屯門,蝴蝶灣公園,屯門龍門路45B區,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
209,屯門,福亨村路花園,屯門藍地福亨村路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
190,屯門,海皇路花園,屯門海皇路(屯門泳池側),,公園,/facilities/pi-basketball.png,Active
191,屯門,麒麟崗公眾公園,屯門青山公路三聖邨對面,,"狗公園/寵物公園,長者健身園地",/facilities/pi-basketball.png,Active
195,屯門,屯門公園,屯門屯門鄉事會路,https://www.map.gov.hk/gm/gmid/anub7Fp9zb?lg=tc,"共融遊樂設施,長者健身園地,健身園地,露天劇場,羽毛球場,單車徑/場,寵物共享公園,模型船池,公園,排球場",/facilities/pi-basketball.png,Active
